"","iso_o","iso_d","contig","comlang_off","comlang_ethno","colony","comcol","curcol","col45","smctry","dist","distcap","distw","distwces"
"43423","TGO","SYR",0,0,0,0,1,0,0,0,4716.839,4716.839,"4802.557","4795.843"
"43424","TGO","TCA",0,0,0,0,0,0,0,0,7954.593,7954.593,"7906.382","7905.567"
"43425","TGO","TCD",0,1,0,0,1,0,0,0,1639.351,1639.351,"1728.127","1710.167"
"43426","TGO","TGO",0,0,0,0,0,0,0,0,89.62943,89.62943,"175.1231","68.08453"
"43427","TGO","THA",0,0,0,0,0,0,0,0,10835.92,10835.92,"10835.73","10835.07"
"43428","TGO","TJK",0,0,0,0,0,0,0,0,7639.261,7639.261,"7608.908","7607.418"
"43429","TGO","TKL",0,0,0,0,0,0,0,0,19235.37,19235.37,"19183.75","19183.5"
"43430","TGO","TKM",0,0,0,0,0,0,0,0,6731.816,6731.816,"6772.331","6762.84"
"43431","TGO","TMP",0,0,0,0,0,0,0,0,13877.03,13877.03,"13913.48","13913.15"
"43432","TGO","TON",0,0,0,0,0,0,0,0,18326.04,18326.04,"18466.14","18464.57"
"43433","TGO","TTO",0,0,0,0,0,0,0,0,6929.493,6929.493,"6884.522","6884.141"
"43434","TGO","TUN",0,1,0,0,1,0,0,0,3530.264,3530.264,"3329.2","3317.531"
"43435","TGO","TUR",0,0,0,0,0,0,0,0,4750.341,4900.334,"4737.636","4723.685"
"43436","TGO","TUV",0,0,0,0,0,0,0,0,19682.05,19682.05,"19667.23","19666.51"
"43437","TGO","TWN",0,0,0,0,0,0,0,0,12691.2,12691.2,"12626.92","12626.54"
"43438","TGO","TZA",0,0,0,0,0,0,0,0,4456.608,4059.393,"4235.418","4203.53"
"43439","TGO","UGA",0,0,0,0,0,0,0,0,3529.222,3529.222,"3547.145","3543.423"
"43440","TGO","UKR",0,0,0,0,0,0,0,0,5620.71,5620.71,"5517.924","5508.112"
"43441","TGO","URY",0,0,0,0,0,0,0,0,7556.402,7556.402,"7592.969","7591.078"
"43442","TGO","USA",0,0,0,0,0,0,0,0,8335.612,8578.065,"9887.033","9665.021"
"43443","TGO","UZB",0,0,0,0,0,0,0,0,7720.32,7720.32,"7572.929","7562.142"
"43444","TGO","VCT",0,0,0,0,0,0,0,0,6895.086,6895.086,"6852.828","6852.365"
"43445","TGO","VEN",0,0,0,0,0,0,0,0,7521.914,7521.914,"7581.377","7569.513"
"43446","TGO","VGB",0,0,0,0,0,0,0,0,7266.235,7266.235,"7211.795","7211.096"
"43447","TGO","VNM",0,0,0,0,1,0,0,0,11262.65,11262.65,"11479.15","11476.93"
"43448","TGO","VUT",0,1,1,0,1,0,0,0,18117.36,18117.36,"18222","18221.25"
"43449","TGO","WLF",0,1,1,0,1,0,0,0,19195.72,19195.72,"19293.53","19292.67"
"43450","TGO","WSM",0,0,0,0,0,0,0,0,18682.1,18682.1,"18966.44","18966"
"43451","TGO","YEM",0,0,0,0,0,0,0,0,4790.379,4790.379,"4793.693","4790.016"
"43452","TGO","YUG",0,0,0,0,0,0,0,0,4687.575,4687.575,"4513.702","4507.091"
"43453","TGO","ZAF",0,0,0,0,0,0,0,0,4813.559,4586.597,"4899.261","4886.246"
"43454","TGO","ZAR",0,1,1,0,0,0,0,0,1939.161,1939.161,"2536.307","2405.867"
"43455","TGO","ZMB",0,0,0,0,0,0,0,0,3821.44,3821.44,"3837.881","3830.912"
"43456","TGO","ZWE",0,0,0,0,0,0,0,0,4216.904,4216.904,"4306.011","4300.954"
"43457","THA","ABW",0,0,0,0,0,0,0,0,16930.21,16930.21,"16932.43","16930.5"
"43458","THA","AFG",0,0,0,0,0,0,0,0,3903.415,3903.415,"4011.003","3999.327"
"43459","THA","AGO",0,0,0,0,0,0,0,0,9955.721,9955.721,"9936.604","9933.295"
"43460","THA","AIA",0,0,0,0,0,0,0,0,16046.65,16046.65,"16049.28","16047.47"
"43461","THA","ALB",0,0,0,0,0,0,0,0,8241.192,8241.192,"8249.614","8247.475"
"43462","THA","AND",0,0,0,0,0,0,0,0,9708.485,9708.485,"9713.173","9711.238"
"43463","THA","ANT",0,0,0,0,0,0,0,0,16931.23,16931.23,"16813.92","16806.96"
"43464","THA","ARE",0,0,0,0,0,0,0,0,4967.796,4967.796,"4903.947","4901.547"
"43465","THA","ARG",0,0,0,0,0,0,0,0,16890.18,16890.18,"17137.09","17126.63"
"43466","THA","ARM",0,0,0,0,0,0,0,0,6163.356,6163.356,"6167.068","6163.949"
"43467","THA","ATG",0,0,0,0,0,0,0,0,16087.87,16087.87,"16095.56","16093.82"
"43468","THA","AUS",0,0,0,0,0,0,0,0,7539.52,7484.506,"7152.192","7067.963"
"43469","THA","AUT",0,0,0,0,0,0,0,0,8450.441,8450.441,"8546.019","8541.57"
"43470","THA","AZE",0,0,0,0,0,0,0,0,5724.86,5724.86,"5818.945","5813.476"
"43471","THA","BDI",0,0,0,0,0,0,0,0,8081.679,8081.679,"8062.289","8061.152"
"43472","THA","BEL",0,0,0,0,0,0,0,0,9260.542,9260.542,"9266.812","9264.127"
"43473","THA","BEN",0,0,0,0,0,0,0,0,10704.45,10673.14,"10702.54","10701.54"
"43474","THA","BFA",0,0,0,0,0,0,0,0,10972.56,10972.56,"11043.51","11040.91"
"43475","THA","BGD",0,0,0,0,0,0,0,0,1538.62,1538.62,"1541.501","1519.586"
"43476","THA","BGR",0,0,0,0,0,0,0,0,7945.512,7945.512,"7820.802","7816.111"
"43477","THA","BHR",0,0,0,0,0,0,0,0,5363.827,5363.827,"5382.429","5380.626"
"43478","THA","BHS",0,0,0,0,0,0,0,0,15707.2,15707.2,"15675.65","15672.82"
"43479","THA","BIH",0,0,0,0,0,0,0,0,8331.858,8331.858,"8375.687","8373.048"
"43480","THA","BLR",0,0,0,0,0,0,0,0,7673.707,7673.707,"7646.512","7640.738"
"43481","THA","BLZ",0,0,0,0,0,0,0,0,16440.78,16440.78,"16415.55","16413.1"
"43482","THA","BMU",0,0,0,0,0,0,0,0,14676.34,14676.34,"14668.64","14666.3"
"43483","THA","BOL",0,0,0,0,0,0,0,0,18778.05,18401.02,"18509.9","18506.35"
"43484","THA","BRA",0,0,0,0,0,0,0,0,16409.97,16629.35,"16232.15","16215.13"
"43485","THA","BRB",0,0,0,0,0,0,0,0,16328.92,16328.92,"16329.14","16327.71"
"43486","THA","BRN",0,0,0,0,0,0,0,0,1864.909,1864.909,"1845.805","1840.222"
"43487","THA","BTN",0,0,0,0,0,0,0,0,1898.348,1898.348,"1875.379","1859.951"
"43488","THA","BWA",0,0,0,0,0,0,0,0,9152.597,9152.597,"9094.519","9090.806"
"43489","THA","CAF",0,0,0,0,0,0,0,0,9025.165,9025.165,"9038.889","9034.004"
"43490","THA","CAN",0,0,0,0,0,0,0,0,13647.12,13439.07,"13088.9","13044.17"
"43491","THA","CCK",0,0,0,0,0,0,0,0,2947.632,2947.632,".","."
"43492","THA","CHE",0,0,0,0,0,0,0,0,9134.03,9134.03,"9118.068","9115.074"
"43493","THA","CHL",0,0,0,0,0,0,0,0,17659.3,17659.3,"17681.75","17667.82"
"43494","THA","CHN",0,0,0,0,0,0,0,0,3303.891,3303.891,"2986.222","2796.87"
"43495","THA","CIV",0,0,0,0,0,0,0,0,11434.37,11523.82,"11492.04","11490.7"
"43496","THA","CMR",0,0,0,0,0,0,0,0,9805.571,9805.571,"9773.957","9766.434"
"43497","THA","COG",0,0,0,0,0,0,0,0,9618.644,9618.644,"9747.272","9742.994"
"43498","THA","COK",0,0,0,0,0,0,0,0,11555.7,11555.7,"11542.09","11540.55"
"43499","THA","COL",0,0,0,0,0,0,0,0,17931.82,17931.82,"17783.22","17776.66"
"43500","THA","COM",0,0,0,0,0,0,0,0,6919.27,6919.27,"6900.055","6897.954"
"43501","THA","CPV",0,0,0,0,0,0,0,0,13092.34,13092.34,"13114.49","13113.53"
"43502","THA","CRI",0,0,0,0,0,0,0,0,17346.46,17346.46,"17336.03","17333.71"
"43503","THA","CUB",0,0,0,0,0,0,0,0,15920.19,15920.19,"16042.93","16039.42"
"43504","THA","CXR",0,0,0,0,0,0,0,0,2748.906,2748.906,".","."
"43505","THA","CYM",0,0,0,0,0,0,0,0,16351.48,16351.48,"16346.39","16343.99"
"43506","THA","CYP",0,0,0,0,0,0,0,0,7075.253,7075.253,"7089.082","7087.002"
"43507","THA","CZE",0,0,0,0,0,0,0,0,8570.566,8570.566,"8500.207","8495.999"
"43508","THA","DEU",0,0,0,0,0,0,0,0,9065.879,8612.231,"8877.51","8871.397"
"43509","THA","DJI",0,0,0,0,0,0,0,0,6217.964,6217.964,"6236.54","6235.548"
"43510","THA","DMA",0,0,0,0,0,0,0,0,16236.58,16236.58,"16230.28","16228.65"
"43511","THA","DNK",0,0,0,0,0,0,0,0,8628.834,8628.834,"8706.867","8703.149"
"43512","THA","DOM",0,0,0,0,0,0,0,0,16291.28,16291.28,"16273.83","16271.6"
"43513","THA","DZA",0,0,0,0,0,0,0,0,9756.441,9756.441,"9761.51","9753.362"
